ID_AGEB,CVE_AGEB,ZONE
0,23,3
1,42,2
2,76,1
3,80,1
4,95,1
5,108,2
6,112,2
7,131,2
8,146,2
9,150,2
10,017A,2
11,199,4
12,216,4
13,220,4
14,024A,3
15,273,3
16,288,3
17,292,3
18,305,3
19,031A,3
20,324,3
21,339,3
22,343,3
23,358,3
24,362,3
25,377,3
26,381,1
27,396,1
28,409,1
29,413,1
30,428,1
31,432,4
32,466,3
33,470,2
34,049A,1
35,502,1
36,517,1
37,521,1
38,536,2
39,540,3
40,555,3
41,056A,4
42,574,1
43,593,1
44,606,1
45,610,1
46,625,2
47,063A,1
48,644,2
49,659,2
50,663,1
51,678,1
52,682,1
53,697,3
54,070A,3
55,714,3
56,729,3
57,733,3
58,748,2
59,752,2
60,767,3
61,771,3
62,786,3
63,790,3
64,803,3
65,818,4
66,837,4
67,841,4
68,894,1
69,907,1
70,911,1
71,926,1
72,945,1
73,095A,1
74,964,1
75,1055,2
76,106A,2
77,1074,2
78,1089,2
79,1093,2
80,1106,4
81,1110,4
82,1125,3
83,113A,4
84,1144,1
85,1159,3
86,1163,2
87,1178,1
88,1197,1
89,120A,3
90,1214,3
91,1233,1
92,1248,3
93,1267,2
94,1271,2
95,1286,4
96,1290,4
97,1303,4
98,1318,3
99,1322,2
100,1360,2
101,1375,3
102,138A,2
103,1394,3
104,1407,4
105,1411,2
106,1426,2
107,1430,1
108,1445,1
109,145A,1
110,1464,3
111,1479,3
112,1746,2
113,1750,2
114,177A,2
115,1799,2
116,1835,2
117,184A,2
118,1854,2
119,1869,2
120,1873,2
121,1888,2
122,1905,2
123,191A,2
124,1924,2
125,1939,2
126,1943,2
127,1958,2
128,1996,2
129,2000,2
130,2015,2
131,202A,2
132,2049,4
133,2068,2
134,2072,4
135,2087,2
136,2091,2
137,2195,4
138,2208,4
139,2246,1
140,2250,1
141,2265,1
142,2299,2
143,2335,2
144,234A,2
145,2354,2
146,2373,1
147,2388,1
148,2405,1
149,2443,2
150,2458,2
151,2462,2
152,2477,2
153,2481,2
154,2509,1
155,2513,1
156,2528,1
157,2532,1
158,2547,1
159,2551,1
160,2566,1
161,2570,1
162,2585,1
163,2602,1
164,2617,3
165,2621,3
166,2636,3
167,2640,3
168,2655,3
169,2706,4
170,2710,3
171,273A,4
172,2744,4
173,2763,4
174,2778,3
175,280A,4
176,2852,4
177,2886,2
178,2890,2
179,2903,2
180,2918,2
181,2922,2
182,2937,4
183,2941,4
184,2956,4
185,2960,4
186,2975,4
187,298A,4
188,2994,4
189,3009,2
190,3013,2
191,3028,2
192,3032,4
193,3047,4
194,3051,4
195,3066,4
196,3070,4
197,3085,4
198,3225,1
199,323A,2
200,3244,2
201,3259,2
202,3263,2
203,3278,2
204,3282,2
205,3297,2
206,330A,2
207,3314,2
208,3329,2
209,3333,3
210,3348,3
211,3352,4
212,3367,4
213,3371,4
214,3386,4
215,3390,3
216,3418,3
217,3422,3
218,3437,3
219,3441,3
220,3456,3
221,3460,4
222,483A,4
223,4844,2
224,4859,2
225,4863,2
226,4878,3
227,490A,1
228,4914,1
229,4929,2
230,4933,2
231,4948,4
232,4952,4
233,4967,4
234,4971,4
235,4986,4
236,4990,4
237,5005,4
238,5039,2
239,5043,2
240,5058,2
241,5062,2
242,5077,2
243,5081,2
244,5096,2
245,5109,2
246,5113,2
247,5128,2
248,5132,3
249,5151,4
250,5166,4
251,5170,4
252,5185,4
253,519A,4
254,5202,2
255,5217,2
256,5221,3
257,5236,3
258,5240,4
259,5255,4
260,526A,1
261,5274,1
262,5289,1
263,5293,1
264,5306,1
265,5310,1
266,5325,1
267,533A,1
268,5344,2
269,5359,2
270,5363,2
271,5378,2
272,5382,2
273,5397,2
274,540A,2
275,5414,2
276,5429,2
277,5433,2
278,5448,3
279,5452,3
280,5467,2
281,5471,2
282,5486,2
283,5490,1
284,5503,2
285,5518,2
286,5522,2
287,5537,2
288,5560,1
289,5575,1
290,558A,1
291,5594,1
292,5607,3
293,5611,3
294,5626,1
295,5630,1
296,5645,1
297,565A,1
298,5664,4
299,5679,4
300,5683,3
301,5698,3
302,5700,1
303,5715,1
304,572A,1
305,5734,1
306,5749,2
307,5753,4
308,5768,3
309,5772,3
310,5823,3
311,5838,3
312,5842,3
313,5857,3
314,5861,3
315,5876,3
316,5880,3
317,5895,3
318,5908,1
319,5912,1
320,5927,2
321,5965,2
322,597A,2
323,5984,2
324,5999,2
325,6003,2
326,6018,2
327,6022,2
328,6037,1
329,6041,1
330,6056,1
331,6060,1
332,6075,1
333,608A,2
334,6107,3
335,6111,3
336,6126,3
337,6130,3
338,6145,3
339,615A,3
340,6164,4
341,6179,4
342,6183,4
343,6198,4
344,6200,4
345,6215,4
346,622A,4
347,6234,1
348,6304,1
349,6319,1
350,6323,1
351,6338,1
352,6342,1
353,6357,2
354,6361,2
355,6376,2
356,6380,2
357,6395,3
358,6408,3
359,6412,3
360,6427,3
361,6431,4
362,6446,4
363,6450,4
364,6465,4
365,647A,4
366,6624,1
367,6639,1
368,6643,1
369,6658,1
370,6662,1
371,6677,1
372,6681,1
373,6696,2
374,6709,2
375,6713,2
376,6728,2
377,6732,2
378,6747,2
379,6751,2
380,6766,4
381,6770,4
382,6785,4
383,679A,4
384,6802,4
385,6817,4
386,6821,4
387,6836,4
388,6840,4
389,6855,3
390,686A,3
391,6874,3
392,6893,3
393,6906,3
394,6910,3
395,6925,3
396,693A,3
397,6944,3
398,6959,3
399,6963,3
400,6978,3
401,6982,3
402,6997,3
403,7001,1
404,7016,1
405,7020,1
406,7035,1
407,704A,2
408,7054,1
409,7069,2
410,7073,2
411,7088,4
412,7092,4
413,7105,4
414,711A,3
415,7124,3
416,7139,3
417,7143,3
418,7158,3
419,7162,3
420,7177,3
421,7181,3
422,7196,1
423,7209,1
424,7213,1
425,7228,1
426,7232,1
427,7247,1
428,7251,1
429,7266,1
430,7270,2
431,7285,2
432,729A,2
433,7302,2
434,7317,3
435,7321,4
436,7336,4
437,7340,4
438,7355,4
439,736A,4
440,7374,3
441,7389,3
442,7393,3
443,7406,3
444,7410,3
445,7425,3
446,743A,3
447,7444,3
448,7459,3
449,7463,3
450,7478,3
451,7482,1
452,7497,1
453,750A,1
454,7514,1
455,7529,1
456,7548,3
457,7552,1
458,7567,1
459,7571,1
460,7586,4
461,7603,4
462,7618,3
463,7622,3
464,7637,3
465,7641,3
466,7656,3
467,7660,3
468,7675,3
469,768A,3
470,7694,3
471,7707,3
472,7711,1
473,7726,1
474,7764,2
475,7779,2
476,7783,2
477,7798,1
478,7800,1
479,7815,1
480,782A,2
481,7834,2
482,7849,2
483,7853,2
484,7868,4
485,7872,4
486,7887,4
487,7891,4
488,7904,3
489,7919,3
490,7923,3
491,7938,3
492,7942,3
493,7957,3
494,7961,3
495,7976,3
496,7980,3
497,7995,3
498,800A,3
499,8014,3
500,8029,1
501,8033,1
502,8048,1
503,8052,1
504,8067,1
505,8071,1
506,8090,1
507,8103,1
508,8118,1
509,8122,1
510,8137,1
511,8141,3
512,8211,1
513,8226,1
514,8230,1
515,8245,1
516,825A,1
517,8264,1
518,8279,1
519,8283,1
520,8298,1
521,8300,2
522,8315,2
523,832A,2
524,8334,2
525,8349,4
526,8353,4
527,8368,3
528,8372,3
529,8387,3
530,8391,3
531,8404,3
532,8419,3
533,8423,3
534,8438,3
535,8442,3
536,8457,1
537,8461,1
538,8476,1
539,8480,1
540,8495,1
541,8508,1
542,8512,1
543,8527,1
544,8531,1
545,8546,1
546,8550,1
547,857A,2
548,8584,2
549,8599,2
550,8601,3
551,8616,3
552,8620,1
553,8635,1
554,864A,2
555,8654,3
556,8669,3
557,8673,3
558,8688,3
559,8692,3
560,8705,3
561,871A,3
562,8724,3
563,8739,3
564,8743,3
565,8758,1
566,8832,2
567,8847,2
568,8851,2
569,8866,4
570,8870,3
571,8885,3
572,889A,3
573,8902,1
574,8917,1
575,8921,1
576,8936,1
577,8940,1
578,8955,1
579,896A,2
580,8989,2
581,8993,2
